,MAE,MAPE,R2
DVN,349.15393878025117,0.2654420207214397,0.30942763630864634
MTDR,72.67552770351581,0.22316354204881517,-0.5152672874635977
MCF,22.89141001224976,0.3631459251614652,-0.7528333462104317
SWN,104.66458405020194,0.10315937409252443,0.4440330126706812
XEC,61.85529864730488,0.10650644346042087,0.4097778659534934
BSM,21.76896216996746,0.4004031541362193,-2.64008439846166
PVAC,14.727339640586692,0.13376906856365156,0.0695452386560308
BATL,6.26497678900026,0.12617913883630702,0.3114934937962974
AMPY,3.853258438852265,0.051855088692966095,0.781245730861909
CHK,1041.7092997834243,1.1295197683427771,-26.289141939834323
OVV,393.1460449848608,0.23279509267481863,-2.6652786512360036
APA,213.49937455650348,0.14071572234353222,0.4947199756602444
SBOW,12.407928716020853,0.1663340510093079,-0.11235180446271964
VNOM,31.173542914941976,0.3194593822677827,-2.6211007980817005
OAS,34.80924245202705,0.11881462441198802,-0.3814724494185795
GDP,2.446687638041741,0.08529898809320392,0.7188302514348708
EQT,86.77736718699697,0.08570093003102205,-0.8238036694703563
PXD,984.8047773061026,0.346151449819757,-1.4639105055809871
COP,943.5998337396657,0.11301023191545864,0.7604847081128827
WLL,98.9269927650474,0.4573344263378786,-1.8082431359710496
CPE,172.02956603786623,0.48461241434653657,-7.839603820583088
WTI,14.989394243683634,0.16986076319898533,-0.15682334198127168
CRC,175.51088683456982,0.5002146289269244,-16.587917321672954
SM,48.11586399380974,0.1375118910185216,0.7466204010146049
EGY,10.888370631937702,0.332588059109199,0.11413129544563294
NOG,17.641245921388844,0.5661999791515597,-1.0472231247165968
MRO,138.46445729430286,0.15527125957783608,0.5033595909685361
DEN,71.033006998259,0.3346380889498322,-29.282163514809927
COG,44.06591555786818,0.13106715543565,0.38374269839898956
TALO,74.3076245025573,0.3124865208420279,-0.5268740198544493
BCEI,24.33159845735174,0.1752035923273168,-0.21775314023384107
HES,175.9023672141492,0.12013354859643388,0.3922697486929765
EOG,203.11785199123722,0.061846052166733216,0.8954875981146143
CNX,36.035694168671014,0.11020555229361503,-0.44571063393818156
PDCE,51.4776978414486,0.1265956520693047,0.3986294103417449
ESTE,29.95144917858888,0.4368869681114848,-1.5423422643145597
AR,464.9101525631512,0.447502504775638,-0.4634474810403797
TPL,12.290763127497371,0.1481501848859602,-1.280107045781178
CLR,118.50585289218625,0.11347679388320107,0.6905314215506817
RRC,51.364019511891144,0.08642051725347766,0.05934839538737857
CRK,92.5437976045047,0.3122754818729437,-1.2990687149332056
MUR,65.55040523422103,0.1835245054756272,-0.24435408089336197
FANG,175.60859885210195,0.14948203919855568,0.1288260158744422
LPI,13.137926554207098,0.05839650533818254,-0.257751719781669
LONE,5.611973876172993,0.13203804534164473,-0.4814944130535306
CDEV,12.894766447236556,0.08814441096290676,0.7798354903748849
SD,22.284655481507397,0.6895247832375524,-83.3831351699538
XOG,33.01718394105491,0.1374795861190032,0.26562739878082453
